Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1757191095,100,,Aggregated,21.400000,0.000000,76,93,100,110,150,1800,5700,8500,12000,13000,13000,3530,5,76,360.7630533169198,1.8104469927493483,12578.567482007202,14541.803966005666
1757191096,100,,Aggregated,21.600000,0.000000,76,93,100,110,150,1800,5700,8500,12000,13000,13000,3556,5,76,358.7405960392966,1.8104469927493483,12578.567482007202,14619.890326209224
1757191097,100,,Aggregated,21.900000,0.000000,76,93,100,110,150,1700,5700,8500,12000,13000,13000,3576,5,76,357.1108382703526,1.8104469927493483,12578.567482007202,14687.266498881432
1757191098,100,,Aggregated,21.200000,0.000000,75,92,100,110,150,1700,5700,8500,12000,13000,13000,3597,5,75,355.3688360505517,1.8104469927493483,12578.567482007202,14628.261328885183
1757191099,100,,Aggregated,21.100000,0.000000,75,92,100,110,150,1700,5700,8400,12000,13000,13000,3609,5,75,354.42578302794635,1.8104469927493483,12578.567482007202,14612.449154890552
1757191100,100,,Aggregated,22.200000,0.000000,75,92,100,110,150,1600,5700,8400,12000,13000,13000,3643,5,75,351.9101122442873,1.8104469927493483,12578.567482007202,14656.97392259127
1757191101,100,,Aggregated,21.500000,0.000000,75,92,100,110,150,1600,5700,8400,12000,13000,13000,3667,5,75,350.1293145481168,1.8104469927493483,12578.567482007202,14648.295882192528
1757191102,100,,Aggregated,22.200000,0.000000,75,92,100,110,150,1600,5700,8400,12000,13000,13000,3679,5,75,349.2763325213401,1.8104469927493483,12578.567482007202,14625.497145963576
1757191103,100,,Aggregated,21.800000,0.000000,75,92,100,110,140,1500,5500,8300,12000,13000,13000,3701,5,75,347.6195172250952,1.8104469927493483,12578.567482007202,14577.431775195893
1757191104,100,,Aggregated,21.300000,0.000000,75,92,100,110,140,1500,5500,8300,12000,13000,13000,3723,5,75,345.9398356621257,1.8104469927493483,12578.567482007202,14625.777867311308
1757191105,100,,Aggregated,21.200000,0.000000,75,92,100,110,140,910,5500,8300,12000,13000,13000,3748,5,75,344.0957333599651,1.8104469927493483,12578.567482007202,14626.045357524014
1757191106,100,,Aggregated,21.700000,0.000000,75,92,100,110,140,830,5500,8300,12000,13000,13000,3767,5,75,342.64777331249235,1.8104469927493483,12578.567482007202,14611.892487390496
1757191107,100,,Aggregated,21.500000,0.000000,75,91,100,110,140,790,5500,8300,12000,13000,13000,3788,5,75,341.0448611119976,1.8104469927493483,12578.567482007202,14546.742344244984
1757191108,100,,Aggregated,21.400000,0.000000,75,91,100,110,140,770,5500,8100,12000,13000,13000,3804,5,75,339.853039310538,1.8104469927493483,12578.567482007202,14486.22239747634
1757191109,100,,Aggregated,21.200000,0.000000,75,91,100,110,140,760,5500,8100,12000,13000,13000,3836,5,75,337.6336856106128,1.8104469927493483,12578.567482007202,14539.217413972889
1757191110,100,,Aggregated,20.900000,0.000000,75,91,100,110,140,750,5300,8100,12000,13000,13000,3857,5,75,336.1811571862298,1.8104469927493483,12578.567482007202,14611.365050557428
1757191111,100,,Aggregated,22.600000,0.000000,75,91,100,110,140,700,5300,8100,12000,13000,13000,3877,5,75,334.8630116526637,1.8104469927493483,12578.567482007202,14628.100851173587
1757191112,100,,Aggregated,22.100000,0.000000,75,91,100,110,140,690,5300,8100,12000,13000,13000,3898,5,75,333.5128482335529,1.8104469927493483,12578.567482007202,14643.773986659826
1757191113,100,,Aggregated,21.600000,0.000000,75,91,100,110,140,590,5100,7900,12000,13000,13000,3923,5,75,331.88172866439095,1.8104469927493483,12578.567482007202,14777.300790211573
1757191114,100,,Aggregated,21.800000,0.000000,75,91,100,110,140,550,5100,7900,12000,13000,13000,3946,5,75,330.3938660272158,1.8104469927493483,12578.567482007202,14797.142422706538
1757191115,100,,Aggregated,22.300000,0.000000,75,91,100,110,140,540,5100,7900,12000,13000,13000,3970,5,74,328.74799982554595,1.8104469927493483,12578.567482007202,14809.72040302267
1757191116,100,,Aggregated,22.100000,0.000000,74,91,100,110,140,490,5100,7900,12000,13000,13000,3989,5,74,327.4742861773507,1.8104469927493483,12578.567482007202,14770.199047380296
1757191117,100,,Aggregated,22.300000,0.000000,74,91,100,110,140,480,5100,7900,12000,13000,13000,4013,5,74,325.98843294579166,1.8104469927493483,12578.567482007202,14852.668577124346
1757191118,100,,Aggregated,22.400000,0.000000,74,91,100,110,140,450,5100,7900,12000,13000,13000,4033,5,74,324.74853746651627,1.8104469927493483,12578.567482007202,14796.970245474833
1757191119,100,,Aggregated,22.300000,0.000000,74,91,100,110,140,440,5000,7900,12000,13000,13000,4053,5,74,323.49786881628063,1.8104469927493483,12578.567482007202,14845.634838391315
1757191120,100,,Aggregated,22.600000,0.000000,74,91,100,110,140,400,5000,7900,12000,13000,13000,4079,5,74,322.032480848593,1.8104469927493483,12578.567482007202,14812.45550379995
1757191121,100,,Aggregated,21.600000,0.000000,74,91,100,110,140,380,5000,7900,12000,13000,13000,4095,5,74,321.00828749556814,1.8104469927493483,12578.567482007202,14878.392918192918
1757191122,100,,Aggregated,21.600000,0.000000,74,91,100,110,140,360,5000,7800,12000,13000,13000,4117,5,74,319.6645933663815,1.8104469927493483,12578.567482007202,14875.581248481903
1757191123,100,,Aggregated,21.500000,0.000000,74,90,100,110,140,350,5000,7800,12000,13000,13000,4134,5,74,318.62428745342146,1.8104469927493483,12578.567482007202,14871.698113207547
1757191124,100,,Aggregated,22.200000,0.000000,74,91,100,110,140,280,5000,7800,12000,13000,13000,4162,5,74,317.2750777036235,1.8104469927493483,12578.567482007202,14887.413022585295
1757191125,100,,Aggregated,21.400000,0.000000,75,91,100,110,140,280,5000,7800,12000,13000,13000,4193,5,75,315.63782123932504,1.8104469927493483,12578.567482007202,14918.028619127117
1757191126,100,,Aggregated,22.100000,0.000000,75,91,100,110,140,260,5000,7700,12000,13000,13000,4209,5,75,314.7632191757001,1.8104469927493483,12578.567482007202,14948.406034687574
1757191127,100,,Aggregated,21.900000,0.000000,75,91,100,110,140,270,5000,7700,12000,13000,13000,4228,5,74,313.75748119998195,1.8104469927493483,12578.567482007202,14935.515846736045
1757191128,100,,Aggregated,22.100000,0.000000,75,91,100,110,140,260,5000,7700,12000,13000,13000,4247,5,75,312.81352408042073,1.8104469927493483,12578.567482007202,14989.752295738168
1757191129,100,,Aggregated,21.700000,0.000000,75,91,100,110,140,250,4900,7700,12000,13000,13000,4274,5,74,311.2504892273142,1.8104469927493483,12578.567482007202,15012.089845577913
1757191130,100,,Aggregated,21.500000,0.000000,74,91,100,110,140,240,4900,7700,12000,13000,13000,4296,5,74,310.019739342536,1.8104469927493483,12578.567482007202,14935.97742085661
1757191131,100,,Aggregated,21.700000,0.000000,74,91,100,110,140,240,4900,7600,12000,13000,13000,4318,5,74,308.90786138476903,1.8104469927493483,12578.567482007202,14948.003937007874
1757191132,100,,Aggregated,22.500000,0.000000,74,91,100,110,140,240,4900,7600,12000,13000,13000,4342,5,74,307.6483739243259,1.8104469927493483,12578.567482007202,14956.016351911561
1757191133,100,,Aggregated,21.800000,0.000000,74,91,100,110,140,240,4900,7600,12000,13000,13000,4359,5,74,306.6839036961073,1.8104469927493483,12578.567482007202,14913.29112181693
1757191134,100,,Aggregated,21.500000,0.000000,74,90,100,110,140,240,4900,7600,12000,13000,13000,4381,5,74,305.4901687722715,1.8104469927493483,12578.567482007202,14941.236932207259
1757191135,100,,Aggregated,22.300000,0.000000,74,90,100,110,140,240,4900,7600,12000,13000,13000,4407,5,74,304.2078051203394,1.8104469927493483,12578.567482007202,14892.827547084184
1757191136,100,,Aggregated,21.500000,0.000000,74,90,100,110,140,230,4900,7600,12000,13000,13000,4426,5,74,303.2679716207326,1.8104469927493483,12578.567482007202,14898.724582015364
1757191137,100,,Aggregated,21.900000,0.000000,74,90,100,110,140,220,4900,7600,12000,13000,13000,4449,5,74,302.07028489060605,1.8104469927493483,12578.567482007202,14901.575859743763
1757191138,100,,Aggregated,21.500000,0.000000,74,90,100,110,140,220,4800,7600,12000,13000,13000,4468,5,74,301.16917233467,1.8104469927493483,12578.567482007202,14923.750447627574
1757191139,100,,Aggregated,22.000000,0.000000,74,90,100,110,140,220,4800,7600,12000,13000,13000,4495,5,74,299.9038354100663,1.8104469927493483,12578.567482007202,15007.802002224695
